string,gn.AROU,gn.VAL,gn.DOM,gn.CNC,gn.IMAG,gn.FAM,gn.AOA,gn.SIZE,gn.GEND
confirmation,3.9118,6.1143,5.9706,4,3.4571,5.2941,5.1714,4.5625,4
conform,3.7273,3.5294,2.8824,2.7647,3.4706,4.7941,5.8571,4.2647,3.7941
conformity,3.6857,3.6176,2.4571,2.8,3.1429,4.3824,6.1818,4.4545,3.5758
confuse,3.8125,3.6364,4,2.7576,2.5625,5.9667,3.6061,4.1875,4
confused,4.3226,3.4375,3.2188,2.8,3.0968,6.1538,3.6129,4.2333,3.68
confusion,4.6857,3.2353,3.4857,2.4412,3.6286,5.9375,3.8286,4.7059,3.9143
connect,4.3636,6.5588,5.5758,3.2286,3.5294,5.4828,3.9412,4.0882,3.7059
connection,5.75,6.5625,5.6875,3.7419,3.9677,6,4.6286,4.9091,3.7188
connoisseur,5.8276,6.8333,6.2143,4.1379,2.9,3.3438,6.3571,4.7241,4.7143
conquer,6.7059,4.9118,7.3636,3.5,4.0857,4.2424,4.6667,6.1515,6.0588
conqueror,6.2857,4.9444,6.6857,5.1944,5.1471,4.4375,5.25,6.2286,6.3889
conquest,6.2188,5.303,7.2581,3.697,4,4.3448,5.4242,5.9697,5.697
consent,4.5882,6.5152,6.3636,3.3636,3.1471,5.8621,5.5455,4.5152,3.3438
console,4.9118,5.8824,4.6765,3.3824,4.0909,4.8065,5.3143,4.3333,3.5758
consonant,3.3667,5.1515,5.3548,4.4688,4.4848,4.5,4.4412,2.7813,4.2
construction,3.9688,5.4375,5.5,5.1875,5.5758,5.069,4.7879,5.2581,5.5588
consult,3.3529,5.4688,4.9412,3.7941,2.8235,5.0938,5.4571,4.2941,3.8286
contain,3.5806,4.8125,4.5484,3.2188,3.0323,5.6071,4.3125,4.1,4.1481
container,3.5625,5.1333,4.6765,6.0294,5.9118,6,4.1471,3.3939,4.0588
contempt,4.7353,3.2857,5.2857,3.0286,3.2286,4.9118,5.6471,4.6571,3.9118
contend,4.2813,4.8182,5.2813,2.8125,2.1515,4.3667,5.7941,4.2424,4.4483
contender,5.4667,6.1765,6.3636,3.8824,3.9714,4.0313,5.3636,4.8788,5.0286
content,3.9,5.9394,4.8824,3.1429,3.1471,5.7586,4.4848,4.1613,3.6452
contents,3.4,5.3636,5.2571,4.7879,4.0938,5.4839,4.6571,3.9143,4
context,4.3,5.5429,4.8333,2.8529,2.5,5.3571,5.6286,4.1818,3.875
continent,3.375,5.4545,5.0882,6.3438,5.4848,5.1935,4.4063,6.0625,4.3667
continental,4.0667,5.8387,4.9667,4.3548,4.1333,5.0323,5.3125,5.1,4.0968
contract,3.9714,4.8529,4.5,5.5455,5.3636,5.3448,4.9429,4.0588,4.8824
contribute,4.9412,7.0294,6.7059,2.7647,2.7353,5.5,5.0588,4.6667,4.0313
contribution,5.3235,6.9375,6.5588,2.9706,3,5.6765,5.5882,5.4857,4.1143
convene,3.931,5.2857,5.1724,3.0357,3.0645,3.3125,6.2258,3.7857,4.1429
convener,3.2414,5.3077,5.32,4.76,3.7308,3.303,6.75,4.1852,4.2917
convent,3.1667,4.2258,3.0333,4.875,4.7667,2.8519,5.0303,4.2857,2.3793
convention,3.3125,4.6333,3.6552,3.7879,3.7419,4.2581,5.6875,5,4.3462
convert,4.3438,4.5625,4.5161,2.0968,2.2188,3.9643,4.9677,4,3.8333
convict,5.4545,2.1429,4.3235,4.9706,4.7714,4.5758,5.0571,4.6667,5.5161
conviction,5.1429,3.8286,4.5429,3.6471,3.2,4.7879,5.6857,5.1429,5.2059
convoy,3.5882,4.8485,4.8788,5.5455,5.4706,3.7941,5.4,5.2424,5.0606
cook,5.0938,6.4063,5.6061,5.4375,6.2188,6.5862,2.3636,4.0938,3.1212
cooker,4.2059,5.25,5.2857,6.6765,6.5,5.931,2.8,3.9143,3.1143
cool,5.3333,6.5313,5.1818,2.8571,3.5143,6.1034,3.0857,3.9412,4.5294
cooperate,4.3824,6.8056,5.0588,3.4,3.9429,5.8065,5.0286,4.6471,3.3056
copy,3.3939,4.3333,4.1563,3.8788,4.4063,6.1429,2.5758,3.5,4.1667
coral,4.8438,6.1515,5.3548,5.7353,6.0938,4.7407,4.303,4.0938,2.8788
cord,3.0625,4.9697,4.8387,5.4571,5.6563,3.9375,3.9412,3.25,4.1379
core,4.7097,5.1875,5.7,4.0968,4.125,4.6667,4.1176,3.7742,4.25
cork,4.0645,5.2143,5.4138,6.5,6.0385,5.2222,4.0323,1.8276,4.4615
corn,3.4118,5.4242,5.1875,6.3636,6.2424,5.2857,2.9143,2.1471,4.2727
corner,3.6061,4.7576,4.5455,6.0294,5.7647,6.1538,2.5294,2.9091,4.25
cornered,4.8286,2.5429,2.2903,3.8235,4.1765,4.9286,4.3333,3.6765,4.2647
cornflour,2.2258,5.0938,4.9,6.7188,6.1818,4.3793,5,2,3.2581
corporation,3.1563,4.1429,3.8529,4.6875,4.5714,4.8438,6.2571,6.2059,4.8125
corpse,4.9677,2.5161,3.5161,6.6071,5.9677,4.4444,5.0938,3.8438,4.6296
corridor,3.5294,5.0294,5,5.9677,6.3438,6.0385,3.2857,4.2424,4.3125
corrupt,4.2121,2.0606,4.0588,3.1714,3.1818,4.4483,5.4848,5.125,5.5161
cortex,4.129,5.4516,5.3103,5.2667,4.1935,4.4688,6.8333,4,4.4839
cost,5.0323,3.5938,3.7667,3.4194,3.3548,6.12,3.25,4.9355,4.0385
costly,4.4118,2.9714,3.4286,3.8286,3.9091,5.5333,4.6,4.9706,4.0588
costume,6,5.7742,5.875,5.6563,5.8929,5.6071,2.8571,4.2333,3.0909
cosy,5.4063,7.7941,5.8485,3.3125,4.8125,6.3333,2.4571,3.3438,2.4545
cottage,3.9706,6.125,5.0294,6.7647,6.7188,5.5625,3.3824,4.0882,2.7879
cotton,3.5588,5.9412,4.6471,6.4194,6,5.5938,3.9412,2.875,2.7941
couch,3.6667,5.7742,5.3492,6.746,6.7231,5.8421,2.8182,3.75,4.4333
cough,4.1515,3.6471,4.3235,5.8286,5.7647,6.2,2.5143,3.1765,4.6857
councillor,3.7143,4.4857,3.0857,5.5429,5.2286,4.6571,5.5714,4.1212,4.1143
counsellor,3.8125,5.3438,4.2424,5.3125,5.3939,5.2,5.2121,4.3939,2.9697
count,2.8857,5.2903,5.6471,3.9118,3.7059,6,2.1143,3.6765,4.2121
counter,3.1875,5,5.4375,5.5152,5.5714,4.9688,3.3529,3.5294,4.0909
country,4.3714,5.8529,5.75,5.6176,6.0313,6.3438,2.9714,6.3333,4.3871
county,3.2121,5.2667,4.6774,5.4,4.8333,5.0323,4.6061,5.4545,4.2121
coup,3.6667,4.6154,4.84,3.76,3.5,3,5.7037,4.0833,4.4231
couple,5.4516,7,5.4242,5,5.7813,5.8966,3.9706,4.1765,2.9706
courage,7.2059,8.2353,7.8438,2.3529,3.697,5.2727,3.7941,5.9412,4.8824
courageous,6.697,8.0909,7.0571,2.9118,3.4412,5.125,4.8,5.6364,4.4333
course,3.7188,5.0571,4.5758,3.9412,3.1176,5.931,4.2571,4.3636,4.4545
court,4.8,4.1333,3.4483,5.5161,5.7,5.2143,4.2581,5.0645,4.9286
courtship,5.2571,6.6857,5.5429,4.1515,3.8485,3.1613,5.8529,4.1765,3.2121
courtyard,3.8438,5.5588,4.9375,6.25,6.2059,4.6897,4.4286,4.7879,3.6765
cover,4.1333,5.2222,4.8571,4.4063,4.2759,5.8519,2.8667,4,3.9286
covert,4.7419,4.4545,5.4194,2.8485,3.1818,4.2667,6.2121,3.6774,4.2121
cow,3.1471,5.1765,5.0294,6.8485,6.8788,6.3333,1.697,4.1818,3.4118
coward,3.8065,2.4839,3.3636,3.1875,3.6875,4.3462,4.2188,3.3,4.9333
cowardice,4.1515,2.2571,3.1176,2.5429,3.4412,3.4848,5.7429,3.7879,4.3429
cowardly,4.4063,2.4545,2.8438,2.5152,2.6364,4.3871,4.8,3.1563,4.3871
cowboy,5.0938,5.4706,5.6364,6.1765,6.6667,4.9375,2.6765,3.6364,6.3939
crab,4.0571,5.0286,4.7647,6.7813,6.6333,5.1935,2.5294,2.2424,4.5152
cradle,4.0588,6.3143,4.0286,5.9412,6.0286,4.6857,3.0286,2.7714,2.2121
craft,4.7813,5.9697,5.4688,4.4571,3.9143,4.75,3.9714,3.8125,3.0606
crag,4.1818,4.7727,4.55,5.4737,4.5714,2.1034,5.4286,3.4762,5.2778
cranium,4.7667,5.5333,5.5862,6.2333,4.9286,3.4286,6.1613,3.4516,4.7917
crank,4.0303,3.9143,5.2353,4.2059,3.3235,3.9394,4.9722,3.8485,5.3235
crap,4.1212,2.5588,4.6176,3.6364,4.8235,5.6774,4.1714,3.5,4.9394
crash,5.1515,2.3871,3.5,5.4,5.7419,5.75,2.7273,5.3125,4.7333
crater,4.3529,3.9688,4.6875,6.1515,5.8529,3.8788,4.4286,5.0606,4.9375
crawl,3.9688,4.6061,4.1875,4.7941,5.5,5.2963,1.9118,3.0313,3.9706
crayon,4.2647,5.7273,5.6571,6.4412,6.5455,5.5882,1.7714,1.6857,3.7576
crazy,6.3636,3,4.8788,2.7941,4.4118,5.7143,3.1471,4.9394,3.6667
cream,4.5152,5.9697,5.2333,6.4848,6.2353,5.5625,2.8529,2.4571,3.0909
create,5.6875,7.2727,6.8182,2.6857,3.303,6.125,3.1714,4.7813,3.6563
creator,5.5294,6.6286,5.7143,3.1471,3.2727,5.3,3.9143,5.9412,4.7429
creature,5.2414,5.1667,5.2667,5.4516,5.1333,5.6552,3.5938,3.7333,4.6774
credit,4,5.8824,5.0882,3.2353,3.0303,5.4667,5.4286,4.3939,4.0303
creek,4,5.0968,4.8966,6,5.871,4.2258,4.5,4.2258,4.4194
creep,5.1176,2.1176,4.1212,3.3529,4.0882,4.4688,4.4286,3.6471,5.6571
crest,4.1563,5.2424,5.3871,5.0323,4.9355,3.8065,5.0294,3.4063,4.4516
crevice,4.4516,4.2903,3.9333,4.9355,5.0313,3.8,5.9688,3.3226,3.9394
cricket,3,5.0606,4.6176,5.7188,6.1818,4.5333,3.8235,3.2941,5.5294
crime,5.4,1.9412,4.0588,4.7576,4.875,6.125,3.8485,5.5152,5.303
criminal,5.3529,1.9118,4.3143,5.1429,5.2121,5.1875,3.9429,4.9706,5.3235
crisis,6.1471,1.8,2.8286,3.7429,3.9118,5.3636,4.9706,6.0588,4.6286
crisp,5.0857,5.8182,5.4412,5.1143,5.6471,5.5625,2.5429,2.8824,4.5
critic,4.2903,2.8485,4.9091,4.4706,3.7714,4.9667,5.5294,4.4516,4.5
criticism,5,2.6563,3.0968,3.0313,2.8125,5.4516,5.1714,4.7647,4.1515
criticize,5.0323,2.6765,4.8824,2.8485,3.9118,5.6364,4.9706,4.5,4.2059
crocodile,5.4412,4,4.5,6.7879,6.8333,5.5517,2.3333,5.1111,5.5833
crook,4.875,2.5,4.2188,4.3125,4.7742,4.0345,4.1212,4.1818,5.0909
crop,3.6061,5.1613,5.0625,5.7273,5.8387,4.6552,3.8485,3.871,4.5
crops,3.5806,6.0968,5.0333,5.9655,5.7037,4.56,4.2188,4.6333,4.3077
cross,3.6176,4.25,5.2581,4.9394,5.3429,5.3548,2.7941,3.4242,4.4063
crossbow,4.5,4.2727,5.3939,6.2353,6.2353,4.0645,4.7429,3.5143,5.129
crossed,3.625,4.1471,4.7879,3.7576,3.6471,5.2759,3.6765,3.625,4.3333
crow,3.4688,4.6129,5.3,6.6452,6.7188,5.7143,2.7576,2.0938,4.6563
crowd,5.2121,4.7576,4.0606,5.7037,6.1,6.1923,3.625,5.8387,4.2581
crown,5.3125,6.0625,5.8333,6.3214,6.5714,5.1852,2.5,3,3.9333
crucifix,5.0645,3.9677,3.1875,5.8065,6.3333,4.3214,4.5313,3.3333,5
crucify,5.2813,2.0667,3.697,4.4063,4.5758,3.6786,4.1875,5.1613,5.1613
crude,5.303,3.3438,5.0345,2.5,2.5625,4.5517,5.375,3.9063,5.3929
cruel,4.1515,1.7429,4.9714,2.7059,3.4706,5.3793,4.1429,4.5429,4.5758
cruise,5.0625,6.3871,5.2143,5.1667,5.4138,4.4615,4.3871,5.0345,3.9286
crumb,3.2258,4.6471,4.9677,6.0938,6.25,5.8788,2.7576,1.2903,3.9375
crumble,4.4138,3.6667,3.9355,4.2424,4.8529,4.6,3.8125,3.375,3.6774
crunch,4.875,4.9375,5.5806,4.3125,4.7742,5.8276,2.9063,3.6875,4.7097
crunchy,4.5938,5.5429,5.3939,5.1429,4.8182,5.4839,2.7143,3.5429,4.5882
crush,6.0938,4.7059,4.9706,4.5,4.1875,5.7586,3.8857,4.5758,3.1176
crushed,5.125,2.4545,3.5758,4.1875,5.2424,5.8276,3.3235,4.7059,4.3636
crust,3.0588,4.9394,4.8529,5.9412,5.8235,5.7941,2.8824,2.5758,4.7059
crutch,3.4118,3.5882,3.1714,5.697,5.6765,4.5806,4.6765,3.4412,4.4118
cry,4.7941,2.6667,3.4063,4.9706,5.8438,6.3667,1.5758,3.9394,2.7576
crying,5.0303,2.1765,2.9118,5.2571,6.3235,6.1515,2.0286,4.7879,2.6
crystal,6.3714,6.9429,5.8286,6.1143,6.1429,4.9118,3.9429,2.8,2.1176
cube,2.4063,4.8788,4.7742,6.1212,6.4194,5.6333,3.0909,3.3636,4.6061
cuddle,6.6286,8.0294,4.8857,5.4857,6,6.3125,2.0571,3.8824,1.9143
cues,3.875,5.0909,4.6667,3.0588,2.8235,4.6875,5.6471,3.2424,4.4242
cuisine,5.2941,6.4857,5.6765,5.5152,5.5556,5.129,5.4444,3.5882,3.2286
cultural,5.3636,6.1515,4.697,3.0303,3.6061,5.9655,5.0909,5.697,3.8182
culture,5.8485,6.8824,4.7667,2.9333,3.7576,6.2069,5.1515,6.25,3
cunning,6,4.8485,5.9394,2.5455,3.1818,4.5758,5.0294,4.5882,4.3438
cunt,5.6364,2.0294,5.1515,4.3438,4.5938,5.0968,6.4118,4.3438,3.7879
cup,3.8857,5.1935,5.1563,6.5,6.75,6.4667,1.6571,2.1471,3.5588
curb,3.2424,4.6765,4.697,5.4118,5.2424,4.7097,3.7576,2.7647,4.2059
cure,6.4194,8,5.931,4.2188,2.8438,5.5556,3.9333,5.5,3.8462
curious,6.4516,6.7813,6.0345,2.25,2.8065,5.8148,4.2188,4.8,3.4615
currant,3.7714,5.2727,5.1818,5.5588,5.5,4.6333,4.1143,2.7059,3.5806
currency,4.9677,5.375,3.8788,4.3103,4.8065,4.75,5.1765,4.7097,4.5
current,4.6452,5.3,5.3871,3,3.0313,5.1923,4.3939,4.3667,3.88
curry,5.0882,5.8485,5.2424,6.5152,6.5152,6.1111,4.0882,2.8529,4.625
curse,5.6667,1.9697,3.3793,2.7647,3.7273,4.5161,4,4.6286,4.1471
curtain,3.3226,5.1875,4.875,6.5806,6.5926,5.9583,2.8929,3.5517,2.9091
cushion,3.8438,6.0909,4.8182,6.2,6.3939,5.9,2.4286,2.6364,2.8485
custom,4.0882,5.625,5.25,2.7188,2.697,5.2,4.7353,3.8485,4.2424
cut,4.2188,2.8125,4.5484,5.9688,6.0968,6,2,3,4.2581
cute,5.3429,7.1471,5.0286,2.9412,4.9143,6.1667,2.7647,3.3429,2.1429
cycle,4.4,5.8519,5.4,4.6552,4.8276,5.5,3.0323,3.9355,4.4
cyclone,5.7879,3.375,4,5.75,5.6667,3.7742,5.5143,5.7429,4.1875
cymbals,5.4,5.4828,5.5484,6,6.125,3.7333,4.0313,3.7586,4.6333
cynical,4.2059,2.7353,5.1176,2.2353,2.4242,4.6061,6.0909,4.4688,4.3529
dad,4.9118,6.8485,4.6061,6.2353,6.375,6.871,1.2647,5.1471,6.7059
daffodil,5.6667,7,4.9688,6.7647,6.9118,5.6333,2.7059,2.7273,2.5758
dagger,5.4706,2.7429,4.8485,6.5455,6.6061,4.5758,4.3235,3.7188,5.2727
daisy,4.3939,6.4286,4.7353,6.6,6.7353,5.9667,2.3143,2.1429,2.0882
damage,4.6176,2.1471,4.4412,4.1143,4.8529,5.7097,3.5429,5.4118,5.1714
damaged,4.3714,2.3143,3.6,4.2647,4.5882,5.5152,4,5,4.4706
dame,4.1935,5.6129,5.4688,5.125,4.9688,3.697,4.9688,4.5484,1.2424
damp,3.3429,3.4118,4.4857,5.1471,4.6286,5.3226,3.5429,2.9697,4.1176
damsel,4.7941,4.5455,3.7647,4.8485,5.7273,3.7879,5.0857,3.4063,1.7353
dance,6.4242,6.9375,5.9091,4.8333,6.125,6.1786,2.5294,4.3871,2.4667
dancer,6.7742,6.8824,6.2353,6.3939,6.5714,5.9286,2.2941,3.7273,2.1143
dancing,7.2647,7.4,6.1471,5.3714,6.4848,6.4138,2.3714,4.3824,2
dandruff,2.4516,2.7586,3.75,6.3636,6.1613,4.8667,4.0606,2.1563,4.4688
danger,7.1471,2.0294,3.0968,3.3235,4.7647,6.1154,2.5588,5.5625,5.1515
dangerous,7.3529,2.6061,4.5625,3.0294,4.5161,5.8788,3.0571,5.8235,5.5484
dangle,4.4848,4.4848,4.3793,3,3.6563,3.6061,4.3636,2.9667,3.8846
dapper,5.5333,6.8387,5.9,2.875,4.1333,3.3571,6.1,3.9032,5.6667
dare,6.2424,4.6061,5.5938,3.4063,3.3,5.6333,3.3636,4.6563,4.7742
dark,4.3939,3.7143,4.5,4.5152,6.2059,6.4063,1.8286,5.2286,4.9688
darkness,5.3333,2.6471,3.0882,4.7059,5.9118,5.9,2.7941,5.5882,4.697
darling,5.8182,7.5143,5.1471,3.2286,3.5,5.6552,2.8571,4,1.9429
data,2.8824,4.8182,4.697,5.3824,4.4242,5.7692,5.2353,4.4412,4.625
date,5.5588,6.7576,5.1563,4.303,5,6.1212,3.7353,4,2.7941
daughter,4.1429,6.4118,4.8824,5.9412,5.6786,6.3,2.4857,4.4571,1.6364
dawn,5.931,6.7097,5.6563,5.0345,5.5517,4.9643,3.7188,4.7333,3.0769
daybreak,6.2581,6.9375,4.9677,4.5,5.3,3.36,4.7188,4.8333,3.3929
daylight,5.8485,7.6471,5.6061,5.1563,6.2813,6.4,2.9706,5.4848,3.0606
daze,3.9032,4.5152,4.2121,3.3529,3.6667,4.25,4.7576,3.5,3.7813
dazzle,6.2813,7.3125,5.7742,3.2188,4.2727,5.3,4.4063,5.0333,2.5625
dead,4.7879,1.5294,2.5882,5.5882,5.7647,6.0313,2.6286,5.0286,4.4
deaf,3.3438,3.5,2.5484,5.0313,3.2813,5.4286,3.2647,4.2353,4
deal,4.5313,6,6.0938,3.3939,3.9375,5.8077,3.6364,4.1875,4.75
dear,4.875,6.1875,5.2,3.0303,3.1875,5.6563,2.7879,3.3939,2.4516
death,5.3125,1.8571,3.8529,4.0286,4.3636,6.3548,3,6.0882,4.6
debacle,5.3333,2.96,3.875,3.0435,2.8696,2.9143,6.2222,4.9167,4.3462
debt,3.3429,1.8824,2.6571,4.3429,4.1176,5.2188,5.1714,5.8824,4.3529
debtor,3.1333,2.875,3.7813,4.7419,3.9333,2.7419,6.3871,4.129,5
decadent,7.0741,5.9032,6.1613,2.4643,3.8667,3.963,6,5.5556,3.2963
decay,3.9412,2.6765,4.1429,4.5294,4.9714,4.4706,5.1429,4.0303,4.4412
deceit,4.6667,2.2121,3.8125,2.4,2.3939,4.8286,6.2286,4.5313,4.7059
deceive,4.5455,2.0968,3.9706,3,2.5938,5.3548,5.3235,4.9697,4.4545
decent,5.0938,6.875,5.875,2.5938,2.9697,5.6538,4.6061,4.3871,4.1563
deception,5.1563,1.9429,4.2059,2.2353,2.9118,4.6471,5.6176,5.5143,4.3429
deck,3.303,5.1176,5.2,6,5.6563,4.9667,3.8857,4.0857,4.8
declare,5.3636,5.8529,6.2941,3.1818,2.8125,4.8621,5.2,4.8438,4.6875
decompose,3.5758,2.697,3.8485,4.8824,4.7241,4.5333,5.5152,3.875,4.7059
decorate,4.8824,6.5758,6.2424,4.6176,4.5588,5.5667,3.6857,4.2353,2.5313
decoration,5.0323,6.1667,5.25,4.7419,5.2333,5.2593,3.5,3.6552,2.76
decorator,3.7813,5.8235,5.1176,5.8788,5.7576,5.4839,4.4412,3.7576,4.4848
decree,3.3871,4.6364,5.1515,3.7097,3.6774,3.1212,6.1212,3.9375,4.5172
deduct,3.5455,4,4.8065,2.9118,2.6667,4.4688,5.6176,3.8485,4.1875
deduction,4.8182,5.3429,6.1875,2.7273,2.8857,4.4706,5.697,3.8125,4.6061
deed,3.9688,5.3636,5.1212,3.9429,3.2941,4.6774,4.6,3.5333,4.25
deep,5.7647,5.8235,4.5758,3.7941,4.6,6.25,2.9143,5.9118,4.0938
deer,4.3871,5.9286,5.1667,6.6563,6.75,5.3214,2.8182,3.6333,2.9688
defame,3.6667,3.3,4.1034,2.7241,2.3333,2.7059,6.6563,3.9333,4.1429
defeat,3.871,2.5294,3.4194,3.0938,3.8485,4.9706,4.1765,5.0588,5.0303
defiant,5.1212,4.5,6.875,2.8387,2.9091,4.2903,5.3636,4.8966,4.3125
define,3.6875,5.1515,5.7,3.0625,2.4063,5.6296,5.0667,3.6129,3.9375
definition,3.2647,5.4242,4.7059,3.697,3.5143,5.5625,4.8286,3.6667,3.8788
deformed,4.6667,2.0323,2.9063,4.7576,5.3529,4.7419,5.0286,5.1515,4.25
defy,5.6875,3.9394,6.8,2.7419,2.6667,5.4667,5.2286,5.3103,4.5152
dejected,3.4688,2.375,3.6667,2.3871,2.5,3.1875,6.0313,3.9667,4.0625
delay,3.2059,3.0294,3.4848,3.4,3.4412,5.5455,4.8,4.2424,3.9714
delicious,7.3939,7.8788,5.75,3.0313,3.6563,6.3929,3.4118,4.8529,2.8182
delight,7.0909,8.0588,5.8235,3,4.2121,5.5455,4,4.6563,2.8529
delighted,6.3824,8.0294,6.4412,3.2857,4.1714,6.069,4,4.9697,2.6667
delightful,7.3714,7.9091,6.6471,2.6571,3.8485,5.5333,4.4857,5.3333,2.8
delirium,5.3824,3.4545,3.0667,2.8065,3.2424,2.8182,6.3333,4.8438,3.2813
delude,3.7097,3.3438,4.0313,2.4839,2.3438,3.6875,6.1935,4.3871,4
deluded,3.9714,2.5,4.1714,2.2286,2.7059,4.3143,6.0857,4.5143,4.0588
deluge,4.04,4.0741,4.2,3.5714,3.5517,2.2333,6.5556,4.1923,4.3077
democracy,4.8485,6.6563,5.2188,3.2581,3.5455,5.1724,5.7353,5.8485,4.75
democratic,4.1563,6.2286,5.5313,2.7647,3.3143,4.8387,6.0588,5.3333,4.8438
demolish,6.1471,2.8286,5.2059,5.1429,5.4706,5.3333,4.6944,5.9706,6
demon,6.0606,1.9063,4.2188,3.7576,5.75,5.5,4.2121,5.5484,5.2424
dense,3.5588,4.3125,4.4194,3.875,3.75,4.8571,5.5625,4.1818,5.0294
dentist,4.7647,4.5,3.9394,6.3548,6.4063,5.9375,3,3.9697,4.8824
depress,3.2424,2.125,3.4063,3.1563,3.0333,5.2581,5.4118,4.3667,3.9375
depressed,3.0294,1.5588,2.5455,3.0294,3.4412,5.9706,5.8,5,3.4545
depression,3.7941,1.7273,2.2059,2.9394,3.6875,6.1,5.697,5.5,3.8235
derelict,4.3125,3.2727,4.4063,4.4839,4.9355,4,5.625,4.6774,4.75
descend,3.8788,4.0968,4.2903,3.6765,4,4.9032,5.1176,3.625,4.4688
descent,4.5313,4.0606,4.5806,3.4706,4.1818,4.2424,5.3529,4.0303,4.4118
describe,4.0968,5.303,5.8182,2.8529,3.1176,6.1034,3.6471,3.8824,3.697
description,4.0588,5.6,5.5455,2.9697,2.7941,6.0313,4.1714,4.5758,3.6765
desert,5.0667,4.7586,4.2333,6.0968,6.2188,5.4828,3.5152,5.1875,4
deserve,5.303,6.6571,6.1143,1.9091,2.4412,5.8621,3.9429,4.4118,3.6452
deserving,5.2188,7.5714,6,2.6875,2.6667,5.1818,4.3333,4.8125,3.5455
design,4.6129,6.3125,5.9063,3.4706,4.0938,5.5172,4.0909,4.4516,3.2903
designer,4.8966,5.871,5.5161,4.5806,4,5.2593,4.9032,3.931,2.8387
desirable,6.9091,7.6061,6.3871,2.8065,4.2903,5.5517,5.3438,5.2,2.5758
desire,7.4242,6.9375,5.8788,2.5758,3.0313,5.5385,5.2,5.4194,3.3333
desk,3.129,4.9333,4.7931,6.6957,6.4783,6.52,2.6333,3.4194,4.25
desks,3.0345,5.1786,4.6429,6.5185,6.75,5.9615,2.9355,3.6,4.5
desolate,3.9412,2.9118,3.7353,2.8235,3.3939,3.4333,5.9143,4.5152,4.2424
despair,4.5455,2.0303,2.3438,3.0645,3.7059,5.0667,5.3714,4.8529,3.5294
desperate,5.1515,2.0294,3.4242,2.3333,3.3125,6,4.6471,4.6563,3.5143
desperation,4.2353,2.0294,2.8529,2.0909,3,4.75,5.2059,5.2727,3.2727
despise,5.5517,1.7742,5.129,2.3438,2.9032,4.7241,5.2667,5,4.4074
dessert,6,7.2647,5.2424,6.1765,6.5714,6.1471,3.1176,3.8788,2.7714
destination,5,6.0909,5.875,4.0909,4.303,5.8,4.6471,5.1515,4.1875
destiny,6.1429,6.5714,4.375,2,2.4688,5.1333,5.303,6.3438,2.6129
destroy,6.0313,1.9143,6.0588,3.9429,3.9714,5.6774,3.8,5.625,5.6061
destroyer,4.5294,2.2857,4.6571,4.0882,4.0303,4.3235,4.7714,5.9412,6
destruction,5.3529,2,5.1471,4.3235,5.3143,5.0303,4.4,6.1212,5.8788
detach,3.375,3.5313,5.3333,3.875,3.303,4.7879,4.9688,3.5161,4.1212
detached,3.1143,3.375,4.8286,3.0286,3.3429,4.5152,5.2571,4.0286,4.5938
detail,4.8125,6.1176,5.6176,3.6471,3.6857,6.0313,4.2941,2.3438,2.7941
detailed,4.7273,6.125,5.3438,3.6667,3.5484,5.8276,4.9118,4.0882,3.8788
determination,7.2727,8.0294,7.5,2.1563,3,5.7308,5.0588,5.875,4.1724
determine,5.1765,6.2941,6.9063,2.8824,2.7941,5.375,4.8824,4.7576,4.4118
determined,7.0152,7.4776,7.6923,2.8923,3.2769,6.2586,4.9394,5.4848,4.3125
detest,5.0968,2.2069,5.1515,2.3939,2.931,4.5185,5.3,4.9667,4.28
detonate,5.8182,2.4375,5.7742,4.7419,4.6667,4.3793,5.5152,5.9394,5.5758
detonation,6.1212,3.0645,4.625,4.6061,4.6452,4,5.5938,5.75,5.3226
develop,5.2059,6.8485,6.4063,2.7813,3.2188,5.6129,4.4412,5,3.871
development,5.1613,6.7273,5.9091,3.5625,3.4194,6.0323,5.1515,5.5,4.303
deviant,5.2424,2.7273,5.4848,3.2353,2.9091,4.2903,6.3714,4.8235,4.8438
deviation,4.5758,4.4848,4.8438,2.75,2.7813,4.5152,6.3529,4.4545,4.0303
device,3.8182,5.3824,5.4857,5.2571,5,5.8438,4.6176,3.4286,4.6364
devil,5.9355,2.2903,4.0625,2.9677,5,4.7857,3.3125,4.9667,5.5333
devise,4.7813,4.6563,5.6129,3.0294,2.9394,4.7419,5.5,4.25,4.0303
devote,5.8529,7.1515,4.7576,2.7647,3.2121,4.7188,5.5294,5.3235,2.6563
devoted,5.1818,7.25,6.1765,2.9706,3.1176,5.2069,5.2353,4.6,2.6333
devotion,5.9143,7.7429,4.8235,2.5882,3.2353,5.5862,5.4,5.8438,2.6286
diabetes,4.625,2.375,3.2188,4.3333,2.4063,4.9333,5.8125,4.303,4.2
diamond,6.0313,7.3333,5.6667,6.8,6.6667,5.16,3.6563,3.3871,1.7813
diamonds,7.1765,7.1714,6.0294,6.7576,6.7813,5.7097,3.8857,3.4286,1.8824
dice,4.5667,4.9667,4,6.5,6.3704,4.9167,3.0323,1.6774,4.4815
dictionary,3.1212,6.0303,5.2188,6.3939,6.25,5.4483,3.7647,4.303,4.1212
die,4.6875,2.0294,2.9394,4.7059,4.6765,6.1613,2.6765,5.4848,4.5294
